Nama Pengulas,Ulasan,Rating
Angel Fenisia Lumatauw,"Enakk jugaa tempatnyaa cozy jugaa… kopinyaa rasanyaa pas juga enak, berasa kopi dan gula aren, dan tempat nyaa juga enak… Lainnya",5 bintang
Gabriela Irene Tesalonika Butar butar,"tempatnya comfy bgt
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Vienna Madeline,"cinta mati aku di sini milonya enak banget TRIMAKACI
Makanan: 5…
Lainnya",5 bintang
sharly saroinsong,"Tempatnya nyaman selalu dan juga ada wifi gratis
Makanan: 5…
Lainnya",5 bintang
arinirahayu,"Bagus nyaman
Makanan: 5
Layanan:…
Lainnya",5 bintang
Akbar Bhekti,"pelayanannya oke , + nyaman
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Fauziyah Mubarokah,"pelayanan baik harga terjangkau banyak promo, tempat juga nyaman banget
Makanan: 5…
Lainnya",5 bintang
cha peachy,"Pelayanan mas rafli baikkk btulll 👍 …
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Septa Virgiawan,waw keren bangetttssss,5 bintang
Balqis Farah,"enak, nyaman, baguss
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Muhammad Qori Ramadhan Nasution,"pelayanan cepet, tempatnya asik jugaa
Makanan: 5…
Lainnya",5 bintang
LAURENTIA YOVIANNY,"kopi nya mantap selalu
Makanan: 5
Layanan:…
Lainnya",5 bintang
0084_Ghozzy Purwana,"Enak Pol Pisan Murah 100/11
Makanan: 5…
Lainnya",5 bintang
Sakri3 Susanto9,"Pelayanannya cepat
Jenis pesanan
Pesan antar…
Lainnya",5 bintang
lutfi prasetyo,"murah senyuuummmm 😁 …
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
INFY A,"Tempatnya nyaman, dan kopinya enak✨️
Makanan: 5…
Lainnya",5 bintang
Clara Rafli,"The best deh buat barista²nya🙌 …
Makanan: 5…
Lainnya",5 bintang
Lady Visenza Goni,"Mantap
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Clara Webina,"Ramah ramah barista nya🫶🏻 …
Makanan: 5…
Lainnya",5 bintang
lily ana,"oke mantab pelayanan nya
super ramah...
Makanan: 5…
Lainnya",5 bintang
Devi Indriswari,"It's really good. Pelayanan oke banget
Kalo mumet kerjaan tinggal pesan by apk langsung sat set bikin. Lainnya",5 bintang
sherly herlyana,"Pelayanan nya bagus,ramah2..kopi ny jg mantab👍👍 …",5 bintang
Sofian Gao,"Suka banget sama kopinya, tapi kalau ke sini harus siap-siap latihan vokal karena volume musiknya keras sekali. Alih-alih buat nyantai, malah jadi beradu sama musik kalau mau ngomong sama teman. Padahal sudah info ke kru beberapa kali, tapi … Lainnya",3 bintang
ismail arslangiray,Stafnya sangat baik. Kopinya lumayan. Tapi makanannya mengerikan. Mereka juga tidak memiliki proses pemesanan yang baik. Lainnya,4 bintang
T C,"Selalu menikmati kopi kenangan. Barista mereka selalu memenuhi permintaan khusus dengan tepat 👏 …
Jeni…
Lainnya",5 bintang
Eli Hotmann,"Matcha Oatside Latte dari Kopi Kenangan terasa lembut, creamy, dan tidak terlalu manis—cocok untuk pecinta matcha. Susu oat berpadu sempurna dengan matcha, memberikan rasa yang kaya namun ringan. Menyegarkan dan cocok untuk dinikmati di siang hari! Lainnya",5 bintang
WT,"Terletak di lantai dasar mal. Kopinya enak, harganya tidak terlalu mahal. Agak ramai. Juga menawarkan beberapa kue-kue. Lainnya",4 bintang
Sean Lie,"Kedai ini mungkin yang terbaik yang pernah saya kunjungi, mengingat ini bukan kedai kopi waralaba kelas atas, kopinya selalu enak, harganya sangat terjangkau.. gunakan promo aplikasi pembayaran xxx dan dapatkan banyak diskon...pasti salah satu kedai kopi lokal terbaik..",5 bintang
aaron brunier,Sama seperti cabang Kopi Kenangan lainnya. Kopi dengan harga terjangkau. Kualitas dan rasanya dapat diterima dan sesuai dengan harga yang dibayarkan. Saya menghargai kemudahan pemesanan melalui aplikasi mereka di ponsel yang menghemat … Lainnya,4 bintang
