Nama Pengulas,Ulasan,Rating
Vinolita Widya,"Hot Americano paling saya suka,
Sangat Hot, Pas semunyanya..
Toast nya suka bangettt
Bambang Choco chesee Lainnya",4 bintang
Muhammad Habibi,"Karyawannya tidak ramah ( hampir semua )
Makanan: 4…
Lainnya",3 bintang
Ndazeid Ndazeid,"Tempatnya ok banget ,bersih ,nyaman toilet ya juga bersih walaupun cuma 1.. Pegawainya ramah, bisa drive thru",5 bintang
Gersom Pratama,"Kopinya enak, tempat parkirnya juga oke tapi untuk mobil dan motor, untuk sepeda ya seadanya yaaa 😁, disini juga ada layanan drive thrunya, 👍 … Lainnya",5 bintang
Dani Ramadhan,Prh orderan onil ngambil disini lama bngt ngga kaya kopi kenangan laen yg langsung jadi,2 bintang
Edy Peniningtias,Pulang jalan jauh nengok teman sakit mampir ke kopi kenangan mata yang tadi ngantuk jadi fresh anda boleh coba kopi kenangan mantan pasti woke up.,3 bintang
Umar,Enak & cepat pelayanannya,5 bintang
Willy Setyadi,"Tempat ini bukan hanya buat drivethru
Tp bisa buat nongkrong
Parkiran mayan bagus
Jenis pesanan…
Lainnya",5 bintang
Hendro Yuliandra,"Harus banyakin lagi konsep drive thru nya
Tarif per orang
Rp 75–100 rb…
Lainnya",5 bintang
Mochammad Issa,"Tempat paling mantap buat nongkrong smpe mlm, drive thrunya jg oke.
Jenis pesanan…
Lainnya",5 bintang
Alabie official,"Tempatnya sangat nyaman
Dekat jalan raya
Tempatnya bersih … Lainnya",5 bintang
Ariifa Alfan,"Pelayanannya oke, cuma untuk securitynya mungkin bisa lebih aktif membantu lagi kalo ada kendaraan yang ingin keluar masuk Lainnya",3 bintang
leona gauloisses,"Minumannya enak
Pelayanan cepat, gak perlu turun kendaraan.
bisa juga buat minum ditempat
disediakan juga toilet. Lainnya",5 bintang
Mas Joko,"Order 4 item minuman dan roti lama banget nunggunya. Masih manual order
Jenis pesanan…
Lainnya",3 bintang
Noerdianto Noerdianto,"Ini dulu Rumah makan khas Melayu tapi sekarang uda jadi kopi
Dan di belakang nya ada kompleks YRS di situ lha dulu 4tahun nyari rejeki di situ Lainnya",3 bintang
Sop Sopi,Ruang ac lumayan sempit2an. Ya emang sih karena konsepnya kan kontainer. Jadi ruang ac di dalem kontainer. Konsepnya kaya minimalis dalem kontainer. Lainnya,5 bintang
Okky Dharmadji,"...tempat n harga cukup bagus n sesuai...
Jenis pesanan
Makan di tempat…
Lainnya",3 bintang
Dinar Dodo,"makin kesini makin ga stabil rasa kopken mantan, jangan demi profit formulanya dirubah,, big mistake..  mending antri tuku Lainnya",3 bintang
Zahra Alya,Toiletnya kotor dan bau,2 bintang
Mohamad Rendi,"Yang kerja sekarang lelet dan lemot.... Ga seperti awal2 sigap dan cekatan, sekarang lelet kaya bekicot.... Lainnya",1 bintang
7A_Fitra As-Syifa S.R,Meskipun lokasi di pinggir jalan tmptnya tetap ok.. cm temanya out door gt jd agak panas..hehe,5 bintang
Lamia Firdaus,"Lebih simpel pesen kopi kenangan mantan tanpa harus parkir dulu. Pelayanannya juga cepet
Jenis pesana…
Lainnya",4 bintang
Anto Ang,"pesan harus 20 menit.  Luar biasa. Jauh2 dtg. Akhirnya balik
Layanan: 1",1 bintang
Andry Yusna,"Salahsatu spot nongkrong paling ok bgt dibintaro.
Ada ruangan ac dan non ac, tempatnya strategies juga..",5 bintang
odi sandika,Saya pesen menu pasal 1 × 2 tapi hanya dapat 2 cup coffe tanpa roti seperti di menu,1 bintang
Heri Suryanto,"Lokasi buat nongkrong sore ok lah sambil nunggu kemacetan
Jenis pesanan…
Lainnya",4 bintang
rom wnugroho,"Kopinya enak, hanya saja masih kemanisan karena kami pesan gulanya 25%.",4 bintang
Izzati hasanah ryadiva,"Pelayanan cepat. Security yg incharge malem ini sih top abis, sopan bener baik.
Jenis pesanan…
Lainnya",5 bintang
I R,"Cocok buat mampir drivethru takeaway
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
ANCA _ ONTE,"Tempat & suasana ok, cuma pelayanannya agak lama...🤦🤦 …
Jenis pesanan
Ma…
Lainnya",5 bintang
Andri Faizal,"Seperti biasa kalo wfh disini, enak buat ngobrol santai brg temen
Jenis pesanan…
Lainnya",5 bintang
Aditya Samudra,"Sering mampir kalo lagi pingin kopi. Praktis, Nggak perlu keluar mobil.
Layanan: 5",5 bintang
Dwi Suryanti,"Baghs pelayanannya..cm tempatnya harus diperbesar agar lbh nyaman saja
Jenis pesanan…
Lainnya",5 bintang
Amel El Dinne Abdellah,"Sebuah experience pesen kopi di kopi kenangan drive thru
Jenis pesanan
B…
Lainnya",5 bintang
Arief Budiyanto,Cuma agak kecewa pas bawa tumbler kopken berharap dapat diskon ternyata gak dapet 😔 …,5 bintang
Rahmat Rifaie,"Buat quick meeting bisalah, enak cuma rame karena dipinggir jalan
Jenis pesanan…
Lainnya",5 bintang
saka loebis,"Drive through nya luar biasa lama...kurang orang ini
Jenis pesanan
Bawa …
Lainnya",2 bintang
Gusti Taufik,"Bàru kali ini ngerasain beli kopi kenangan dengan drive thru... mantabbb 👍👍👍 …
Jenis pesanan…
Lainnya",5 bintang
FARKHAN MUBAROK,Tempatnya enak buat nongkrong. Banyak colokan Biasa buat charger laptop/HP,5 bintang
Muhammad Renaldy,"Ya lumayan ok, untuk Jumat & Sabtu 24 jam tpi gbsa diatas percuma.",4 bintang
Tanto Engkoh,"Tempat nya nyaman dan tersedia parkiran yg cukup luas
Makanan: 5…
Lainnya",5 bintang
Azri Fadilah,"Kopi kenangan Drive Thru...
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Rima Sri,"Enak buat nongkrong
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Nepi Ariyanto,"Lokasi strategis, harga sama dengan booth reguler, parkir mobil Terbatas.
Jenis pesanan…
Lainnya",5 bintang
Abu Rayyan,"Drive thru kopi hihii..cukup cepat dan sigap pelayanannya..
Makanan: 4…
Lainnya",4 bintang
Risyah Noviyanti,"pelayanan nya cepat
Makanan: 5
Layanan:…
Lainnya",5 bintang
Nasru Llah,Kasir nya gak bisa menghargai driver GK bisa profesional  cuma bisa omong to,1 bintang
Surya Hana,"Tempat enak buat nongkrong
Makanan: 5…
Lainnya",5 bintang
